log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition,model
0.0,0.030946142368895695,85.16273218103125,3.4710024215262236,32.743362831858406,26.216814159292035,41.03982300884956,3.004766096945272,4.8533205743422405,7.403157330050241,904.0,12.0,4,Exp3_Synth_to_Real,ZeroShot_Transfer,Severity_Tercile
0.0,0.21830118534928736,328.0598024412864,1.5139669496364545,40.04424778761062,32.07964601769911,27.876106194690266,3.357502784027436,6.312356328578993,6.905633996657584,904.0,12.0,4,Exp3_Synth_to_Real,ZeroShot_Transfer,KMeans
-8.881067412798457,0.2076715489320933,324.6919867577437,1.5641713924963696,40.81858407079646,30.973451327433626,28.207964601769913,3.4849449570373543,6.304784414274792,6.8036658239993155,904.0,12.0,4,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1,GMM
-9.036580896452232,0.20803563080946005,320.97263871120515,1.5590317288248976,40.81858407079646,30.752212389380528,28.42920353982301,3.4800836173248997,6.323575548312534,6.786436782255948,904.0,12.0,4,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1,GMM
-9.118207340513955,0.20643869826292985,317.9248937778662,1.5660850061548952,40.48672566371682,31.08407079646018,28.42920353982301,3.4750555613489045,6.299766981388161,6.786436782255948,904.0,12.0,4,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1,GMM
-8.778632387564468,0.1651976201952922,2726.225944116045,1.8751142040883872,43.423913043478265,28.786231884057973,27.78985507246377,3.7431100293568824,5.901158187664104,6.019010571805394,11040.0,60.0,5,Exp1_Synth_to_Synth,Synthetic_Baseline,GMM
0.0,0.026734383846114235,691.1793963507272,4.507978228096818,32.59963768115942,34.048913043478265,33.35144927536232,3.1976013026343137,4.914936412238805,6.8390172660634985,11040.0,60.0,5,Exp1_Synth_to_Synth,Synthetic_Baseline,Severity_Tercile
0.0,0.17705327114251243,2853.5720062049486,1.792853876167644,44.1213768115942,28.432971014492754,27.445652173913043,3.652478053246744,6.002602922780764,6.115935136455002,11040.0,60.0,5,Exp1_Synth_to_Synth,Synthetic_Baseline,KMeans
-8.090025509552147,0.2199313546286312,282.1162742829384,1.5281593160056712,42.876344086021504,31.451612903225808,25.672043010752688,3.497647416469099,6.404151364307439,6.815590544121232,744.0,12.0,5,Exp2_Real_to_Real,Real_Only_Baseline,GMM
0.0,0.031909829489299234,51.168109471916175,4.116387854067405,35.08064516129033,30.107526881720432,34.81182795698925,3.091179190043465,5.10401757826871,7.590737578745959,744.0,12.0,5,Exp2_Real_to_Real,Real_Only_Baseline,Severity_Tercile
